,model,graph,n,p,pr,eps,gam,max_it,avg_nit,std_nit,nruns,iqm_nit,iqm_std_nit,avg_ncluster_001,std_ncluster_001,avg_mean_opinion,avg_std_opinions,avg_median_opinion,10B_avg_entr,10B_std_entr,10B_avg_norm_entr
0,rewiring,er,100,0.1,0.0,0.35,0.0,1000000,42.63333333333333,6.848276344372276,30,41.4,2.1228911104120867,1.0358647943737755,0.04293912514074729,0.5048306159882785,0.04738039623529992,0.5071306829507275,0.08454791260410488,0.08722583423773626,0.036834191710438814
1,rewiring,er,100,0.1,0.0,0.35,0.5,1000000,148.5,61.1935454112605,30,131.64285714285714,7.649529797474416,1.0861091457016052,0.2006617695593088,0.4986527081294807,0.049227607491184086,0.5093924940860173,0.11074563523369209,0.17491906095410337,0.04824750645699669
2,rewiring,er,100,0.1,0.0,0.35,1.0,1000000,8615.533333333333,2535.34905858915,30,8622.785714285714,1354.5394672608645,1.4109692608397648,0.4334162190424693,0.4970569360197342,0.12528949777931436,0.4646685679613995,0.37464016736866435,0.2931239135197744,0.16321594847532978
3,rewiring,er,100,0.1,0.0,0.35,1.5,1000000,2766.633333333333,2816.9082991030355,30,2001.8666666666666,1209.5622275113512,24.240903802933715,2.7974120237325137,0.4884118405385908,0.2742890931344833,0.4738716713124002,2.1888600811914056,0.05433573776898248,0.953600028370381
4,rewiring,er,100,0.1,0.1,0.35,0.0,1000000,296.8333333333333,200.93549268912705,30,258.2142857142857,73.45569954685863,1.1220253915083631,0.2039034275808232,0.5004186021279315,0.07205242972261909,0.4989947759924339,0.1863341331967797,0.1520604031430116,0.08117843448728025
5,rewiring,er,100,0.1,0.1,0.35,0.5,1000000,749.0333333333333,1305.6234394171836,30,316.0,124.33365249544123,1.027872722413545,0.041750808700799266,0.5004754223716528,0.028347035013561,0.5021847709532954,0.05717627229392549,0.08186179923160603,0.0249094473192287
6,rewiring,er,100,0.1,0.1,0.35,1.0,1000000,10702.466666666667,4094.5435865578734,30,9882.92857142857,1157.0297850398615,1.212560082402937,0.35002198173719035,0.5027857364840926,0.07461709473860978,0.500626886144521,0.20963290846604335,0.250913902710547,0.09132879217742176
7,rewiring,er,100,0.1,0.1,0.35,1.5,1000000,3066.666666666666,3453.256273271489,30,1977.357142857143,1194.2734555932716,24.19081699306723,2.178073863100051,0.5027763110488734,0.2700589822825287,0.5068356481684593,2.181392549305305,0.058174255517550656,0.9503467191800712
8,rewiring,er,100,0.1,0.2,0.35,0.0,1000000,149.4,113.1463948460872,30,121.0,40.24212434040444,1.090694523637235,0.07895375411898221,0.504676908292528,0.06968664494558148,0.5069379669792939,0.1880795167559048,0.09401526119230655,0.08193882928172183
9,rewiring,er,100,0.1,0.2,0.35,0.5,1000000,1655.2,3433.2892722091833,30,218.92857142857144,85.70752949563357,1.0904268509831476,0.22192291935000968,0.4974414429040535,0.047402300987464965,0.506590302495002,0.10787961677528587,0.17245911126183455,0.04699889522472523
10,rewiring,er,100,0.1,0.2,0.35,1.0,1000000,8319.7,3568.8732689743965,30,7608.071428571428,868.9998737699823,1.362732683084931,0.4269613618577301,0.5037499259990033,0.10967865902405018,0.5050898018015276,0.3286018010878327,0.3009099888809069,0.14315884762691425
11,rewiring,er,100,0.1,0.2,0.35,1.5,1000000,4251.733333333334,3665.924475793551,30,3672.642857142857,1600.9079837545255,23.694138966616716,2.8600350601693396,0.4957466217559608,0.2757613676906919,0.4993970432526375,2.158010958403055,0.07051989252118097,0.9401602819841431
12,rewiring,er,100,0.1,0.3,0.35,0.0,1000000,120.23333333333332,96.91669389509504,30,93.64285714285714,22.01170838718452,1.1032854195268156,0.1583236456401328,0.4964455909013994,0.07253273558108095,0.5060691865368189,0.17162519736138176,0.13531372058955687,0.07477033113226868
13,rewiring,er,100,0.1,0.3,0.35,0.5,1000000,1328.3,2327.9314730750416,30,523.0714285714286,458.05153551066,1.0505743310349038,0.1384010041478225,0.4984242568618991,0.037152169823953016,0.4941763596137485,0.07417589112922364,0.1223054085956561,0.032315510933309664
14,rewiring,er,100,0.1,0.3,0.35,1.0,1000000,9552.733333333334,3379.9243870569385,30,9140.357142857143,1400.4357284759046,1.2845020116306445,0.3940330217260952,0.5104076334981859,0.08762149553805261,0.5338289248276756,0.25296609306221896,0.28283802121466395,0.11020735203392935
15,rewiring,er,100,0.1,0.3,0.35,1.5,1000000,3116.833333333333,4067.352456519543,30,1794.9285714285709,1115.1493470950563,24.592958003066787,2.4846290311378434,0.4906985946938267,0.27362404268621515,0.4766615498454874,2.1849056050966036,0.0593719887595421,0.9518772190649362
16,rewiring,er,100,0.1,0.4,0.35,0.0,1000000,64.66666666666667,23.52351069792848,30,58.57142857142857,10.237984495525096,1.0680610111584072,0.1657044069749859,0.4954814200326024,0.04922286045607165,0.4891522749694503,0.10697052539459848,0.12847838953896154,0.04660283995656807
17,rewiring,er,100,0.1,0.4,0.35,0.5,1000000,830.1666666666665,1685.2320331501996,30,204.64285714285717,70.97444926858954,1.0401352241491948,0.1454383052540019,0.5013412191626329,0.02527491759102728,0.4950950501885337,0.052167195131743144,0.12048318287587204,0.02272718991273127
18,rewiring,er,100,0.1,0.4,0.35,1.0,1000000,8767.266666666666,3766.426935733949,30,7650.428571428572,916.966872301262,1.2918284476088169,0.3602852049693276,0.4984023265845793,0.09653168903721702,0.4949924802749938,0.29690820288387004,0.27035151891998627,0.12935119660062858
19,rewiring,er,100,0.1,0.4,0.35,1.5,1000000,4113.766666666666,3736.1037341356327,30,3320.214285714286,1737.1702843816938,23.829190749439373,2.783428391296785,0.5031796922716245,0.2754304385735277,0.5080536993617247,2.15955340260414,0.055981937435353055,0.9408322641023943
20,rewiring,er,100,0.1,0.5,0.35,0.0,1000000,71.96666666666667,36.4467495883454,30,61.0,9.0,1.057629071493812,0.14802276590294758,0.5004961187373275,0.043292607981882184,0.4972560575452594,0.09484814710651207,0.12438343994408851,0.041321597734295196
21,rewiring,er,100,0.1,0.5,0.35,0.5,1000000,1562.4,2953.3885916576123,30,218.5,65.99756489014251,1.11189825071472,0.2763221714329137,0.5022401711543825,0.04282586177690802,0.5097115521502351,0.1059083926965187,0.20129077454654862,0.046140110620999625
22,rewiring,er,100,0.1,0.5,0.35,1.0,1000000,9292.566666666668,4180.4502363847,30,8413.92857142857,841.1292973722642,1.331957390171221,0.42046415527451597,0.5025349567973405,0.1047301744223184,0.5208950134809834,0.2865044502452761,0.28853084393589135,0.12481869180666222
23,rewiring,er,100,0.1,0.5,0.35,1.5,1000000,3638.5333333333333,5173.333643041228,30,1748.0714285714291,1159.7602870720261,25.016376041142827,3.20128917557299,0.5017901713190634,0.2721587889496449,0.5190867615082262,2.187232668885867,0.052809071262028266,0.9528910289993991
24,rewiring,er,100,0.1,0.6,0.35,0.0,1000000,60.93333333333333,27.076352946600643,30,51.92857142857143,6.4527323748967635,1.0616467337843012,0.1744363393053252,0.4945774187330815,0.03821229946307024,0.4889472092385707,0.08395460881119744,0.13974957740759594,0.03657571264244794
25,rewiring,er,100,0.1,0.6,0.35,0.5,1000000,1614.6333333333334,3107.331486268492,30,162.07142857142858,19.502616255680326,1.137582728874096,0.3350582672674747,0.503589025809069,0.04247362997842243,0.4947081011980289,0.10519110576469409,0.2320809027402908,0.04582761698816525
26,rewiring,er,100,0.1,0.6,0.35,1.0,1000000,8261.933333333332,3089.6360188360195,30,7598.357142857143,1239.194531433501,1.265632089135449,0.3873330796851236,0.4997583418279725,0.08853238349151743,0.4987702758212335,0.2515322826616041,0.2633539968911914,0.10958269737900055
27,rewiring,er,100,0.1,0.6,0.35,1.5,1000000,4262.2,5575.242083832175,30,2200.3571428571427,2099.9836600433296,23.87114150726861,2.995383678817674,0.4934857079281112,0.2761826419841928,0.4919737250755089,2.187688549470949,0.06581638836470377,0.9530896381944789
28,rewiring,er,100,0.1,0.7,0.35,0.0,1000000,65.4,30.50420736007849,30,52.235294117647065,6.5666663739249005,1.0760104760945284,0.22855095638605105,0.4962968611364748,0.035863164393387784,0.4987849613420738,0.08031443022100197,0.16502062697914427,0.03498983036668629
29,rewiring,er,100,0.1,0.7,0.35,0.5,1000000,1728.9333333333334,3244.113303953621,30,341.0,217.5775723736249,1.1411059214912176,0.31508301181528736,0.4994876003851969,0.05217791471761645,0.4715513269336863,0.12404233621025446,0.22513325523540115,0.05404035476988689
30,rewiring,er,100,0.1,0.7,0.35,1.0,1000000,8352.233333333334,2749.815347538004,30,8267.0,573.2806592636057,1.258223195886388,0.388919138417969,0.4987530144583542,0.07787357516805056,0.5271963842168815,0.22483058143293339,0.2831600164192799,0.0979498190292166
31,rewiring,er,100,0.1,0.7,0.35,1.5,1000000,2884.133333333333,2829.422623473245,30,1989.642857142857,918.6880091539592,24.063277110098557,2.0409617603613546,0.5071385219343824,0.2727981395304893,0.5076829565988634,2.1728055054403255,0.055037523692215456,0.9466056827640729
32,rewiring,er,100,0.1,0.8,0.35,0.0,1000000,53.56666666666667,11.303932452420652,30,52.53333333333333,4.7730726185783325,1.0497796325545623,0.13000675705463682,0.4956023100141858,0.03870019835544114,0.5025223926780517,0.07689254434389788,0.12200434321150859,0.033499049618512314
33,rewiring,er,100,0.1,0.8,0.35,0.5,1000000,1769.1333333333334,2370.287151849375,30,836.7142857142858,725.5773492853249,1.1008904998623614,0.2360363922531433,0.5011715859496555,0.0504351647818803,0.4916353999868696,0.11613310552634498,0.18006329119229458,0.050594614830009745
34,rewiring,er,100,0.1,0.8,0.35,1.0,1000000,9435.366666666667,4104.704499988059,30,8625.785714285714,1285.0477577879813,1.2849196685330604,0.3668311406130557,0.5014241773653864,0.09710343095157528,0.5339236458144699,0.2855653455625878,0.2671789557259467,0.12440956092627863
35,rewiring,er,100,0.1,0.8,0.35,1.5,1000000,2993.133333333333,2969.848758588371,30,2326.357142857143,977.5639991575896,24.00445214939239,2.3369419903981896,0.4958582072687354,0.2767966808631304,0.5038687995257486,2.1887118374339694,0.053873822507544016,0.9535354444106698
36,rewiring,er,100,0.1,0.9,0.35,0.0,1000000,55.4,19.557777651529488,30,49.8125,5.681315318656411,1.0457046387298166,0.13090035337651898,0.4989696345059928,0.03436088096046671,0.4944425830730329,0.07198562977622766,0.12336611413717383,0.03136130042606762
37,rewiring,er,100,0.1,0.9,0.35,0.5,1000000,785.3333333333335,1791.3843684579688,30,161.0,27.760883751542693,1.0718802906403246,0.2372354267975433,0.490487383402304,0.026383699766346858,0.4743620325948606,0.0627593372138696,0.17220017493939518,0.027341768558855176
38,rewiring,er,100,0.1,0.9,0.35,1.0,1000000,7534.733333333334,2608.801026440222,30,7202.7142857142835,851.6067526884049,1.2796670134457642,0.371686261103824,0.5069521102397855,0.0922418449448172,0.5299289917752756,0.2775625809548303,0.25961104566396515,0.12092307194391973
39,rewiring,er,100,0.1,0.9,0.35,1.5,1000000,2744.0666666666666,2812.5805225016334,30,2050.0,882.5481775598912,23.94783587126431,2.3737000315365293,0.5035623169890677,0.27785603954960997,0.5068638072072987,2.2008153986433565,0.046620446346118845,0.9588084887737303
40,rewiring,er,100,0.1,1.0,0.35,0.0,1000000,49.06666666666667,10.266233757106622,30,46.57142857142857,2.226922466874271,1.0458294879781147,0.17581415638836434,0.4986001342526082,0.02998626334008353,0.5062112002480155,0.05566273329455314,0.1253326750042849,0.024250058057601914
41,rewiring,er,100,0.1,1.0,0.35,0.5,1000000,963.5333333333333,1963.044773361581,30,180.2142857142857,31.432873082238,1.0696605989265096,0.2339618136488367,0.5092065400147202,0.025147391899357108,0.5114369850286045,0.06107840078622514,0.16947445822198598,0.02660945083838303
42,rewiring,er,100,0.1,1.0,0.35,1.0,1000000,9136.7,4736.015886445764,30,8428.285714285714,1609.9279233454358,1.3268480321378129,0.4200632918770831,0.5037747219400516,0.09682585307239537,0.4962462878358705,0.3019529128723261,0.3049115219802872,0.13154897782449446
43,rewiring,er,100,0.1,1.0,0.35,1.5,1000000,3958.1,3567.9285899991514,30,3044.357142857143,1146.4250400479655,24.176924801501194,2.599783341444546,0.4987429299678307,0.2753082080717796,0.4960319110563752,2.1821371532645952,0.06692447347505022,0.9506711137646339
